Transaction_Type,Amount,Initial_Balance_Sender,Initial_Balance_Receiver,Final_Balance_Sender,Final_Balance_Receiver,Fraud
Transfer,4466.94,13977.27,3802.45,9510.33,8269.39,0
Cash-Out,257.84,9998.7,14918.12,9740.86,14918.12,0
Payment,0.54,18886.51,12611.2,18885.86,12611.79,1
Cash-Out,969.72,11241.01,2292.96,10271.29,2292.96,0
Payment,0.11,17176.11,5694.0,9227.28,5694.12,1
Transfer,4755.68,5745.33,19541.47,989.65,24297.15,0
Payment,0.99,15255.83,2712.9,8362.5,2713.99,1
Payment,0.03,11501.14,1420.4,10312.17,1420.43,1
Debit,214.62,6780.05,11532.28,6565.43,11532.28,0
Transfer,32713.94,3444.37,14889.54,0.0,50874.87,1
Debit,0.83,7064.15,17589.61,7063.15,17589.61,1
Transfer,2860.23,18836.9,9016.17,15976.67,11876.4,0
Cash-In,2219.14,12614.03,1227.3,12614.03,3446.44,0
Transfer,4174.28,18899.07,15039.32,14724.79,19213.6,0
Cash-Out,657.5,8717.16,3202.73,8059.66,3202.73,0
Payment,27733.66,9254.17,17860.31,0.0,48367.34,1
Debit,812.83,7755.75,18246.93,6942.92,18246.93,0
Payment,763.03,6683.25,3667.1,5920.22,4430.13,0
Debit,354.5,7426.44,13891.75,7071.94,13891.75,0
Debit,962.71,1310.7,14292.27,347.99,14292.27,0
Debit,0.59,17247.97,14653.22,16890.52,14653.22,1
Payment,248.24,10027.61,17456.08,9779.37,17704.32,0
Cash-Out,755.39,14960.48,3991.56,14205.09,3991.56,0
Cash-In,457.92,19880.13,142.27,19880.13,600.19,0
Debit,357.57,837.9,17065.69,480.33,17065.69,0
Cash-Out,1810.26,17929.79,5015.58,16119.53,5015.58,0
Cash-In,831.8,10744.12,9195.78,10744.12,10027.58,0
Cash-Out,1728.41,10284.04,7060.99,8555.63,7060.99,0
Debit,166.62,17243.04,13577.91,17076.42,13577.91,0
Debit,533.54,7599.75,13490.92,7066.21,13490.92,0
Cash-In,17291.74,13693.14,13770.36,13693.14,32791.27,1
Cash-Out,168.19,8879.51,7904.16,8711.32,7904.16,0
Cash-Out,132.76,18855.36,18155.66,18722.6,18155.66,0
Transfer,3410.61,2075.32,12199.29,0.0,15609.9,0
Cash-In,0.15,8411.78,5564.8,8411.78,5564.97,1
Payment,26.68,14301.43,12396.7,14274.75,12423.38,0
Payment,472.07,13898.61,4710.35,13426.54,5182.42,0
Transfer,115.53,6745.22,5526.31,6629.69,5641.84,0
Payment,8079.1,10432.91,12536.37,8170.88,21423.38,1
Debit,643.63,3120.13,4450.24,2476.5,4450.24,0
Debit,372.31,562.13,7422.35,189.82,7422.35,0
Cash-Out,1606.53,18851.47,19451.88,17244.94,19451.88,0
Transfer,3178.23,36.25,18520.57,0.0,21698.8,0
Transfer,885.39,6200.07,17516.46,5314.68,18401.85,0
Cash-In,1628.61,16651.71,3090.6,16651.71,4719.21,0
Cash-Out,1487.32,15773.81,3838.9,14286.49,3838.9,0
Payment,0.43,11963.08,19339.93,1530.27,19340.4,1
Debit,5948.96,18241.24,8766.68,11102.49,8766.68,1
Cash-Out,35221.16,17383.44,8297.55,13326.72,8297.55,1
Debit,784.8,7869.81,15924.97,7085.01,15924.97,0
Cash-In,2961.15,7411.84,6849.21,7411.84,9810.36,0
Cash-In,1938.59,5561.13,6215.6,5561.13,8154.19,0
Transfer,1488.89,9178.06,12222.1,7689.17,13710.99,0
Cash-In,37607.48,1256.07,17248.77,1256.07,58617.0,1
Payment,382.45,11722.76,4167.6,11340.31,4550.05,0
Transfer,11747.81,4765.94,14585.95,1862.06,27508.54,1
Cash-Out,0.96,16531.46,19597.79,16530.31,19597.79,1
Cash-In,1409.09,1597.22,18305.0,1597.22,19714.09,0
Debit,747.44,19619.49,5637.33,18872.05,5637.33,0
Cash-Out,1132.91,12304.21,14224.4,11171.3,14224.4,0
Cash-Out,1341.82,13152.64,6166.02,11810.82,6166.02,0
Cash-Out,0.66,18926.13,17303.29,10767.08,17303.29,1
Cash-In,0.96,10972.64,17901.52,10972.64,17902.58,1
Cash-In,1390.98,2022.47,5522.45,2022.47,6913.43,0
Cash-Out,1934.63,16653.89,4226.07,14719.26,4226.07,0
Cash-Out,0.06,18446.4,12282.2,18446.33,12282.2,1
Payment,39.76,15973.24,16032.54,15933.48,16072.3,0
Payment,743.08,5421.16,2721.0,4678.08,3464.08,0
Cash-Out,134.63,1417.63,15333.72,1283.0,15333.72,0
Debit,830.62,2873.09,16053.13,2042.47,16053.13,0
Cash-In,2119.2,4671.26,13625.02,4671.26,15744.22,0
Transfer,1841.9,8759.35,5780.07,6917.45,7621.97,0
Payment,41149.61,3515.93,6553.1,0.0,51817.67,1
Debit,455.38,10922.73,4672.14,10467.35,4672.14,0
Cash-In,15933.17,6684.46,308.14,6684.46,17834.63,1
Debit,6354.7,14896.19,7997.28,7270.55,7997.28,1
Cash-Out,1998.08,6307.59,4297.2,4309.51,4297.2,0
Cash-In,55.02,3883.78,7222.85,3883.78,7277.87,0
Debit,484.78,6193.65,13214.97,5708.87,13214.97,0
Cash-In,20512.16,16590.52,10180.26,16590.52,32743.64,1
Cash-Out,490.71,16086.98,14487.03,15596.27,14487.03,0
Payment,41339.75,12526.12,4352.29,10628.49,49826.02,1
Payment,629.37,7430.4,19326.06,6801.03,19955.43,0
Payment,30544.46,8715.71,5959.8,5172.99,39558.71,1
Transfer,2491.51,15339.34,19292.4,12847.83,21783.91,0
Payment,32270.49,16594.55,11648.91,0.0,47146.45,1
Transfer,407.92,13452.14,18812.16,13044.22,19220.08,0
Cash-In,1652.74,7876.7,15543.02,7876.7,17195.76,0
Cash-In,1495.95,9365.89,6739.09,9365.89,8235.04,0
Payment,520.36,9043.67,8774.57,8523.31,9294.93,0
Debit,0.07,6138.74,953.47,4247.16,953.47,1
Debit,42393.83,140.79,15005.0,70.48,15005.0,1
Payment,596.72,4409.35,4177.8,3812.63,4774.52,0
Payment,492.87,9565.67,1732.21,9072.8,2225.08,0
Payment,947.58,5547.27,12652.27,4599.69,13599.85,0
Cash-In,1622.01,4178.16,16946.43,4178.16,18568.44,0
Cash-In,2042.71,5184.81,15838.36,5184.81,17881.07,0
Cash-Out,740.52,881.51,14877.31,140.99,14877.31,0
Debit,572.13,4579.85,4289.35,4007.72,4289.35,0
Cash-Out,40050.73,16346.16,12339.14,13631.85,12339.14,1
Cash-Out,0.11,8370.56,11280.2,8370.43,11280.2,1
Payment,925.0,17290.84,15310.38,16365.84,16235.38,0
Debit,329.68,17339.25,17165.56,17009.57,17165.56,0
Transfer,3368.26,4218.0,13347.81,849.74,16716.07,0
Payment,49402.29,6972.72,1951.7,0.0,56294.22,1
Cash-Out,382.04,3455.13,3434.56,3073.09,3434.56,0
Debit,0.47,4910.21,6669.32,1728.76,6669.32,1
Payment,771.31,4528.44,9177.09,3757.13,9948.4,0
Cash-Out,840.82,11329.79,13652.2,10488.97,13652.2,0
Transfer,3931.14,6732.16,2205.67,2801.02,6136.81,0
Cash-In,1323.31,7830.32,16116.65,7830.32,17439.96,0
Cash-In,2565.23,7211.38,9971.83,7211.38,12537.06,0
Payment,32579.44,3106.22,13615.05,0.0,49452.43,1
Cash-Out,0.17,8006.19,10450.14,8005.99,10450.14,1
Payment,0.65,9116.8,12396.15,1713.85,12396.87,1
Cash-In,0.38,18959.68,8692.75,18959.68,8693.17,1
Cash-Out,0.99,17006.28,4976.37,17005.09,4976.37,1
Transfer,0.22,15601.1,12962.24,15600.84,12962.48,1
Cash-In,43988.15,13467.9,5079.16,13467.9,53466.13,1
Cash-In,281.59,10904.92,9385.37,10904.92,9666.96,0
Cash-Out,1157.38,2507.35,5468.38,1349.97,5468.38,0
Payment,760.03,19872.5,11433.04,19112.47,12193.07,0
Payment,986.71,16723.7,18944.08,15736.99,19930.79,0
Payment,22055.53,3813.54,16349.55,0.0,40610.63,1
Payment,42187.54,7351.48,16419.55,4707.63,62825.84,1
Cash-In,5558.92,5772.18,17965.83,5772.18,24080.64,1
Cash-Out,36595.31,6638.62,7946.39,2888.8,7946.39,1
Payment,21483.76,5330.37,891.2,1501.58,24523.34,1
Transfer,31068.42,17641.47,524.66,2417.28,34699.92,1
Debit,0.7,9223.21,14848.12,9222.37,14848.12,1
Debit,261.42,1723.76,1400.88,1462.34,1400.88,0
Cash-In,508.45,18344.21,540.18,18344.21,1048.63,0
Cash-Out,42415.2,18128.48,5613.64,4455.92,5613.64,1
Payment,646.01,3755.24,6228.83,3109.23,6874.84,0
Transfer,2348.0,14396.57,10795.15,12048.57,13143.15,0
Cash-In,2505.8,5394.27,18400.34,5394.27,20906.14,0
Payment,31875.4,8825.92,5417.02,5116.63,40479.96,1
Payment,903.66,5338.86,6766.67,4435.2,7670.33,0
Cash-Out,12921.53,13420.42,5694.78,3502.79,5694.78,1
Payment,75.92,4091.9,6913.34,4015.98,6989.26,0
Cash-Out,730.23,9506.14,5253.39,8775.91,5253.39,0
Cash-Out,23294.47,7897.23,17449.36,6519.04,17449.36,1
Transfer,0.06,12145.66,5785.0,12145.59,5785.07,1
Debit,26488.99,4084.06,785.87,3848.62,785.87,1
Payment,321.56,5957.41,6894.29,5635.85,7215.85,0
Cash-Out,286.71,7705.56,7446.2,7418.85,7446.2,0
Cash-Out,546.55,5597.76,16669.15,5051.21,16669.15,0
Cash-In,775.13,4578.64,8242.17,4578.64,9017.3,0
Payment,848.94,14011.01,4299.38,13162.07,5148.32,0
Payment,776.88,7618.88,5693.93,6842.0,6470.81,0
Cash-In,17335.9,19086.94,18098.85,19086.94,37168.34,1
Debit,642.2,3761.73,16831.79,3119.53,16831.79,0
Debit,0.38,9227.91,2655.53,9227.45,2655.53,1
Transfer,3032.78,6046.5,13288.51,3013.72,16321.29,0
Debit,0.5,6345.18,15416.36,4208.88,15416.36,1
Payment,30019.17,16127.82,4234.57,8005.97,37255.66,1
Cash-Out,1515.94,9935.45,6386.62,8419.51,6386.62,0
Transfer,3075.15,2464.83,4471.0,0.0,7546.15,0
Cash-In,603.91,17875.03,11233.73,17875.03,11837.64,0
Payment,91.3,16794.59,10957.48,16703.29,11048.78,0
Payment,17835.38,1231.13,2988.96,640.07,22607.88,1
Cash-Out,295.72,9755.88,12760.97,9460.16,12760.97,0
Payment,298.11,1397.29,16504.95,1099.18,16803.06,0
Payment,23747.52,13302.63,14801.81,9154.77,40924.08,1
Transfer,3663.29,17683.3,5669.1,14020.01,9332.39,0
Cash-Out,846.14,6879.92,8571.85,6033.78,8571.85,0
Payment,156.79,13898.18,14979.68,13741.39,15136.47,0
Cash-Out,1582.84,10635.82,4390.56,9052.98,4390.56,0
Transfer,3867.27,12089.63,17071.02,8222.36,20938.29,0
Transfer,0.47,5127.83,1622.2,5127.27,1622.72,1
Cash-In,0.43,15800.49,3609.77,15800.49,3610.24,1
Cash-In,35292.31,14072.55,4693.58,14072.55,43515.12,1
Cash-In,2297.77,2823.3,17498.97,2823.3,19796.74,0
Debit,0.7,11455.33,14132.74,4228.98,14132.74,1
Cash-In,0.85,3319.86,19851.61,3319.86,19852.55,1
Transfer,3068.22,19478.01,6729.85,16409.79,9798.07,0
Transfer,40074.31,2310.55,489.7,0.0,44571.44,1
Debit,0.18,211.77,1031.32,12.64,1031.32,1
Cash-In,1513.39,13112.98,15065.43,13112.98,16578.82,0
Cash-In,22876.06,1552.82,9038.73,1552.82,34202.4,1
Payment,34192.3,15747.4,12944.73,8832.83,50556.26,1
Payment,33.15,2767.61,15474.19,2734.46,15507.34,0
Payment,160.01,17072.71,18779.77,16912.7,18939.78,0
Transfer,37782.83,474.79,13972.0,0.0,55533.11,1
Transfer,0.03,19972.2,8002.23,266.38,8002.26,1
Debit,903.37,4917.41,3926.3,4014.04,3926.3,0
Debit,398.92,14292.34,718.84,13893.42,718.84,0
Cash-Out,52.7,10548.67,12183.76,10495.97,12183.76,0
Cash-In,1719.12,9715.07,14880.56,9715.07,16599.68,0
Cash-In,1424.85,18373.48,16599.55,18373.48,18024.4,0
Debit,234.67,13335.77,10761.44,13101.1,10761.44,0
Payment,0.74,12804.39,19995.15,11692.99,19995.96,1
Transfer,0.74,12162.06,14257.4,7885.25,14258.21,1
Transfer,2050.44,5777.68,8866.84,3727.24,10917.28,0
Cash-In,14168.15,15006.23,11877.24,15006.23,27462.21,1
Payment,0.28,10703.46,17072.83,10703.12,17073.14,1
Payment,738.03,4051.47,6792.75,3313.44,7530.78,0
Cash-Out,1135.11,15130.88,10022.84,13995.77,10022.84,0
Payment,0.87,13935.72,9494.83,13934.68,9495.79,1
Payment,751.76,16789.17,5391.71,16037.41,6143.47,0
Debit,40923.48,5817.87,19247.79,3295.67,19247.79,1
Debit,179.34,16495.24,7510.39,16315.9,7510.39,0
Transfer,18492.27,12290.09,11064.21,9305.18,31405.71,1
Cash-In,2020.76,6435.37,13101.62,6435.37,15122.38,0
Cash-Out,594.44,3801.45,1343.4,3207.01,1343.4,0
Debit,504.14,17633.73,6811.99,17129.59,6811.99,0
Debit,10964.02,8066.37,11264.91,1521.61,11264.91,1
Payment,36.63,8405.87,2207.72,8369.24,2244.35,0
Debit,817.03,742.48,13944.32,0.0,13944.32,0
Debit,73.47,15171.05,9874.07,15097.58,9874.07,0
Cash-In,44310.66,5511.48,13970.03,5511.48,62711.76,1
Cash-In,28792.87,5.78,15706.78,5.78,47378.94,1
Payment,215.23,16852.84,1247.24,16637.61,1462.47,0
Transfer,1292.45,13460.51,10713.53,12168.06,12005.98,0
Payment,40022.17,16322.6,5433.18,0.0,49457.57,1
Cash-In,16875.06,7864.0,13979.69,7864.0,32542.26,1
Cash-In,407.87,19777.16,3381.67,19777.16,3789.54,0
Payment,21622.13,9776.37,24.59,8218.81,23808.93,1
Transfer,41994.7,16708.25,15764.39,14426.33,61958.56,1
Cash-Out,48237.5,287.66,17257.88,0.0,17257.88,1
Debit,6628.61,10521.57,7064.75,8231.24,7064.75,1
Cash-In,907.04,19966.2,351.61,19966.2,1258.65,0
Transfer,4809.32,12751.64,4296.75,7942.32,9106.07,0
Debit,640.48,16183.58,17741.79,15543.1,17741.79,0
Cash-In,12850.48,10621.21,9516.43,10621.21,23651.96,1
Payment,343.45,8250.98,4820.86,7907.53,5164.31,0
Payment,0.4,1911.32,15683.08,1209.92,15683.52,1
Payment,26651.94,17406.49,2394.47,15513.5,31711.6,1
Cash-Out,33294.14,14664.19,6669.9,0.0,6669.9,1
Cash-Out,650.79,1204.22,11962.6,553.43,11962.6,0
Debit,13357.58,3123.14,16901.0,0.0,16901.0,1
Cash-In,2576.55,6477.2,3739.69,6477.2,6316.24,0
Debit,413.9,5298.74,19677.53,4884.84,19677.53,0
Debit,266.46,3429.28,8814.47,3162.82,8814.47,0
Payment,0.56,1535.15,17876.47,363.68,17877.09,1
Payment,762.42,1115.98,17041.42,353.56,17803.84,0
Cash-Out,412.88,3274.4,16499.57,2861.52,16499.57,0
Cash-In,2990.26,10654.51,16360.0,10654.51,19350.26,0
Debit,46582.76,10996.4,13057.73,4737.76,13057.73,1
Cash-In,0.91,7229.22,16160.09,7229.22,16161.09,1
Payment,770.27,9253.8,19171.08,8483.53,19941.35,0
Payment,21656.27,8093.99,13177.52,7148.29,36999.42,1
Payment,49234.71,5779.06,11347.27,0.0,65505.45,1
Payment,177.08,2993.5,1496.78,2816.42,1673.86,0
Cash-Out,1498.46,14136.62,10212.09,12638.16,10212.09,0
Payment,202.99,3187.32,6427.4,2984.33,6630.39,0
Cash-In,211.27,16467.7,10570.63,16467.7,10781.9,0
Payment,46836.75,8076.71,18837.4,0.0,70357.83,1
Debit,202.38,61.56,4640.94,0.0,4640.94,0
Transfer,0.17,7778.48,11033.4,7778.28,11033.59,1
Payment,21357.68,16538.62,5445.98,1172.8,28939.43,1
Payment,10268.39,11501.43,4465.33,557.13,15760.56,1
Cash-Out,0.28,7562.58,2250.26,2485.63,2250.26,1
Payment,545.84,10777.38,15633.69,10231.54,16179.53,0
Payment,10187.05,5647.11,523.38,2457.51,11729.14,1
Cash-In,2107.01,17609.61,1478.0,17609.61,3585.01,0
Payment,38754.8,207.37,14926.52,154.14,57556.8,1
Payment,47621.81,4300.26,8985.88,3339.83,61369.87,1
Cash-In,2439.98,5535.61,8827.56,5535.61,11267.54,0
Transfer,0.65,1268.09,970.46,46.78,971.18,1
Cash-In,36542.83,12776.88,12687.02,12776.88,52884.13,1
Transfer,3286.4,5120.79,19633.56,1834.39,22919.96,0
Payment,804.76,6431.53,19304.16,5626.77,20108.92,0
Cash-Out,1699.8,6038.72,19549.17,4338.92,19549.17,0
Payment,145.8,16807.98,8902.7,16662.18,9048.5,0
Payment,687.61,3683.61,1.81,2996.0,689.42,0
Transfer,585.18,10679.59,9093.75,10094.41,9678.93,0
Cash-Out,1392.74,8154.96,4198.46,6762.22,4198.46,0
Payment,461.83,13292.64,9777.51,12830.81,10239.34,0
Payment,259.37,10441.52,13289.87,10182.15,13549.24,0
Payment,36763.82,16891.01,16689.55,0.0,57129.75,1
Debit,573.63,1434.54,13510.96,860.91,13510.96,0
Cash-Out,0.48,291.42,3040.38,290.84,3040.38,1
Payment,21480.93,13930.66,12062.27,10988.79,35691.29,1
Debit,33724.92,18514.47,6090.5,0.0,6090.5,1
Transfer,4613.72,19108.25,3831.6,14494.53,8445.32,0
Payment,285.36,373.03,9457.43,87.67,9742.79,0
Payment,442.15,1485.26,8036.11,1043.11,8478.26,0
Cash-In,2710.0,3231.56,2562.02,3231.56,5272.02,0
Debit,6382.27,10793.61,3506.59,3134.89,3506.59,1
Transfer,1676.33,19962.04,9773.33,18285.71,11449.66,0
Cash-In,2124.21,1961.33,2977.07,1961.33,5101.28,0
Payment,635.4,15669.66,11426.7,15034.26,12062.1,0
Cash-Out,617.88,9819.31,5291.72,9201.43,5291.72,0
Transfer,2262.32,275.41,17241.4,0.0,19503.72,0
Transfer,0.3,13661.9,3473.32,13661.54,3473.65,1
Cash-In,250.44,6605.45,3430.21,6605.45,3680.65,0
Transfer,1917.81,4726.19,14678.13,2808.38,16595.94,0
Debit,15506.68,5427.65,14999.38,0.0,14999.38,1
Transfer,14457.11,2005.58,10366.86,0.0,26269.68,1
Cash-In,2215.11,12996.93,3310.59,12996.93,5525.7,0
Cash-In,2338.95,8136.32,11909.46,8136.32,14248.41,0
Cash-Out,1423.58,5885.74,8852.27,4462.16,8852.27,0
Cash-Out,1751.51,13151.34,11861.55,11399.83,11861.55,0
Cash-Out,546.81,18507.0,15895.66,17960.19,15895.66,0
Transfer,30388.6,9211.77,8041.64,9164.49,41469.1,1
Cash-Out,1444.22,15004.13,15951.08,13559.91,15951.08,0
Payment,56.62,7411.46,4098.48,7354.84,4155.1,0
Payment,796.22,4147.73,18272.22,3351.51,19068.44,0
Cash-Out,44847.85,15302.83,12245.37,8136.57,12245.37,1
Cash-Out,11611.31,10968.38,1876.96,3055.72,1876.96,1
Payment,700.03,16712.7,7225.75,16012.67,7925.78,0
Cash-In,1691.62,12778.45,9803.61,12778.45,11495.23,0
Cash-In,14734.27,7655.14,3729.68,7655.14,19937.38,1
Transfer,47458.2,16116.59,11323.94,1280.51,63527.96,1
Transfer,4381.24,6542.89,5128.25,2161.65,9509.49,0
Debit,718.67,13990.5,12349.79,13271.83,12349.79,0
Transfer,703.77,9265.07,5883.45,8561.3,6587.22,0
Payment,537.37,19784.23,9363.73,19246.86,9901.1,0
Debit,41399.92,19358.52,17337.39,414.1,17337.39,1
Debit,101.65,9201.62,16874.72,9099.97,16874.72,0
Cash-Out,36464.22,5890.19,10085.04,5824.55,10085.04,1
Debit,42711.71,17780.2,11390.51,12868.21,11390.51,1
Debit,129.48,6160.35,18523.95,6030.87,18523.95,0
Transfer,4093.96,18131.35,8619.52,14037.39,12713.48,0
Debit,578.07,5753.18,17655.59,5175.11,17655.59,0
Cash-In,2979.73,11431.02,19320.75,11431.02,22300.48,0
Transfer,4529.97,13186.07,118.47,8656.1,4648.44,0
Transfer,7048.02,3838.39,19119.92,2335.85,26872.74,1
Cash-In,264.03,16681.43,7967.84,16681.43,8231.87,0
Debit,610.03,13159.54,10806.18,12549.51,10806.18,0
Cash-In,1948.81,6511.61,8690.04,6511.61,10638.85,0
Transfer,16064.34,4395.52,3210.67,1825.08,20881.44,1
Transfer,5515.89,13588.78,11937.2,6969.71,18004.68,1
Cash-In,416.65,17476.87,1947.07,17476.87,2363.72,0
Cash-In,2470.9,13306.42,9763.71,13306.42,12234.61,0
Cash-Out,38420.77,4792.95,6001.53,3741.42,6001.53,1
Cash-In,36580.34,2999.24,11938.8,2999.24,52177.17,1
Payment,11707.98,6265.48,473.18,0.0,13351.96,1
Transfer,0.94,16144.7,913.06,7135.93,914.09,1
Payment,566.64,4044.44,1765.77,3477.8,2332.41,0
Cash-Out,1987.86,13818.16,16559.03,11830.3,16559.03,0
Debit,10833.62,11004.99,16880.86,9666.43,16880.86,1
Transfer,265.08,13679.19,13760.44,13414.11,14025.52,0
Cash-In,529.89,10941.13,5248.91,10941.13,5778.8,0
Cash-Out,701.96,9193.04,11357.94,8491.08,11357.94,0
Transfer,2986.42,17373.31,19809.41,14386.89,22795.83,0
Payment,8054.93,10725.64,15694.3,1059.72,24554.72,1
Debit,263.88,662.77,14376.09,398.89,14376.09,0
Debit,424.45,11606.62,9963.77,11182.17,9963.77,0
Transfer,366.21,3961.16,6502.71,3594.95,6868.92,0
Payment,919.36,15265.28,13606.91,14345.92,14526.27,0
Payment,926.35,1233.12,14789.43,306.77,15715.78,0
Cash-Out,16981.88,6433.92,1878.08,0.0,1878.08,1
Debit,0.83,5660.01,5404.96,3779.46,5404.96,1
Debit,12471.22,1031.45,17267.36,44.86,17267.36,1
Payment,338.43,13004.18,1220.79,12665.75,1559.22,0
Cash-In,1585.07,4403.31,16707.3,4403.31,18292.37,0
Cash-Out,11013.15,19781.99,120.77,8835.29,120.77,1
Cash-Out,1227.29,13810.58,2382.82,12583.29,2382.82,0
Cash-Out,136.85,10179.06,2943.23,10042.21,2943.23,0
Debit,430.74,15307.05,11874.86,14876.31,11874.86,0
Cash-In,7200.55,6464.97,2120.16,6464.97,10040.77,1
Debit,386.52,11202.16,11620.13,10815.64,11620.13,0
Cash-Out,1631.81,17680.27,6082.92,16048.46,6082.92,0
Cash-Out,9243.19,13064.25,15004.4,2172.18,15004.4,1
Debit,421.07,12427.77,10233.74,12006.7,10233.74,0
Cash-In,2139.5,15530.6,6683.12,15530.6,8822.62,0
Transfer,177.09,9622.92,9031.42,9445.83,9208.51,0
Payment,830.61,1637.94,15211.43,807.33,16042.04,0
Cash-Out,1262.8,10725.73,16881.21,9462.93,16881.21,0
Cash-In,1983.1,12826.03,5345.55,12826.03,7328.65,0
Payment,13019.92,12579.4,18406.89,0.0,32728.8,1
Cash-In,45314.63,734.01,4179.67,734.01,54025.76,1
Cash-Out,0.11,11290.25,16291.36,1327.83,16291.36,1
Transfer,30656.22,4368.83,1665.11,1459.69,35386.95,1
Payment,9791.9,14817.8,16752.17,8492.98,27523.26,1
Payment,392.14,6853.95,2768.75,6461.81,3160.89,0
Debit,494.62,16829.22,697.89,16334.6,697.89,0
Payment,0.69,3503.19,7497.39,3502.36,7498.15,1
Cash-In,28986.03,18215.44,3799.5,18215.44,35684.13,1
Transfer,664.94,6108.33,9645.79,5443.39,10310.73,0
Payment,48768.05,9654.14,1407.83,4955.32,55052.69,1
Cash-In,43223.14,9823.98,4686.11,9823.98,52231.56,1
Transfer,3265.76,17134.02,1049.14,13868.26,4314.9,0
Debit,503.14,12588.86,1497.79,12085.72,1497.79,0
Payment,77.68,13734.43,6457.89,13656.75,6535.57,0
Cash-Out,841.61,9499.77,12459.35,8658.16,12459.35,0
Cash-In,1956.38,4652.22,10947.55,4652.22,12903.93,0
Transfer,41969.9,11614.37,13719.66,1409.05,59886.55,1
Transfer,4482.03,2058.79,10216.77,0.0,14698.8,0
Debit,23974.08,9920.9,14299.2,1683.08,14299.2,1
Debit,906.21,10075.88,19112.53,9169.67,19112.53,0
Cash-In,1973.91,11959.8,3575.13,11959.8,5549.04,0
Payment,652.12,12293.1,1275.74,11640.98,1927.86,0
Cash-Out,0.88,9052.36,12200.23,3529.25,12200.23,1
Debit,270.95,10349.01,18271.93,10078.06,18271.93,0
Cash-In,547.16,6159.0,13852.67,6159.0,14399.83,0
Payment,619.94,11908.21,11197.49,11288.27,11817.43,0
Transfer,952.5,3584.62,12693.36,2632.12,13645.86,0
Debit,695.55,18590.61,3160.07,17895.06,3160.07,0
Cash-Out,1068.23,11903.7,3254.27,10835.47,3254.27,0
Cash-Out,154.1,8629.69,4648.8,8475.59,4648.8,0
Cash-In,1865.27,3148.7,15327.61,3148.7,17192.88,0
Cash-In,47548.68,19605.85,6940.16,19605.85,59243.71,1
Cash-In,677.01,13938.43,11712.05,13938.43,12389.06,0
Cash-Out,399.73,805.22,13088.94,405.49,13088.94,0
Debit,327.76,16056.38,5460.08,15728.62,5460.08,0
Cash-In,0.67,11113.29,4897.89,11113.29,4898.63,1
Cash-Out,1282.77,13375.14,17564.16,12092.37,17564.16,0
Cash-In,767.06,6141.24,14713.11,6141.24,15480.17,0
Transfer,6556.94,9032.85,11258.23,1164.52,18470.86,1
Debit,15456.16,5203.79,16811.21,2249.21,16811.21,1
Cash-In,5861.66,14578.41,8963.44,14578.41,15411.27,1
Debit,21941.98,8282.55,1499.25,0.0,1499.25,1
Cash-Out,1888.41,18628.84,7861.98,16740.43,7861.98,0
Payment,546.84,2586.71,9356.09,2039.87,9902.93,0
Payment,880.75,15344.21,6606.12,14463.46,7486.87,0
Cash-In,501.05,11526.56,8300.85,11526.56,8801.9,0
Payment,614.82,19216.23,2048.41,18601.41,2663.23,0
Cash-In,33252.86,16680.36,13589.88,16680.36,50168.03,1
Cash-Out,986.58,10903.77,14650.6,9917.19,14650.6,0
Cash-Out,20610.78,1081.81,7110.18,771.19,7110.18,1
Debit,180.53,3234.57,5034.97,3054.04,5034.97,0
Transfer,33348.34,5077.67,10030.3,0.0,46713.47,1
Cash-Out,0.16,8678.73,9267.44,6590.7,9267.44,1
Cash-Out,0.21,420.66,3149.41,47.06,3149.41,1
Cash-In,2068.71,15.0,8363.15,15.0,10431.86,0
Cash-In,1589.67,3136.31,1700.02,3136.31,3289.69,0
Debit,0.88,13615.46,383.53,13614.4,383.53,1
Debit,579.53,5950.07,8815.88,5370.54,8815.88,0
Debit,0.97,10117.45,14865.55,10116.29,14865.55,1
Cash-In,8522.18,12312.37,15501.89,12312.37,24876.29,1
Cash-In,25241.55,5641.8,16795.69,5641.8,44561.4,1
Cash-Out,0.65,6438.48,1680.38,6437.7,1680.38,1
Cash-In,1130.09,18936.96,7510.41,18936.96,8640.5,0
Cash-In,2989.96,17349.09,910.94,17349.51,3901.48,0
Cash-In,1937.06,12220.3,5643.83,12220.3,7580.89,0
Transfer,0.03,18148.67,16104.35,16070.05,16104.38,1
Cash-In,2560.8,12835.72,2230.25,12835.72,4791.05,0
Debit,44132.48,4439.36,9110.89,2260.64,9110.89,1
Cash-Out,29593.62,15830.57,18752.28,4999.63,18752.28,1
Cash-In,595.85,8859.72,802.41,8859.72,1398.26,0
Cash-In,1346.64,8787.21,10128.98,8787.21,11475.62,0
Transfer,0.75,10198.38,10411.49,10197.48,10412.32,1
Debit,27680.13,16135.37,19238.41,0.0,19238.41,1
Debit,44067.01,2562.25,1778.22,818.16,1778.22,1
Debit,43138.55,3313.54,6833.93,0.0,6833.93,1
Transfer,23449.59,4053.73,12609.3,1702.97,38403.85,1
Cash-In,2695.56,12653.33,7714.66,12653.33,10410.22,0
Debit,311.25,4494.82,14364.65,4183.61,14365.22,0
Cash-In,2998.73,8555.21,12434.6,8555.21,15433.33,0
Payment,689.91,5583.8,15300.3,4893.89,15990.21,0
